Fecha;Provincia;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;% BioEtanol;% Éster metílico
01-07-2022;ALBACETE;;;2.088;2.061;1.035;2.088;1.646;2.18;;2.119;2.192;;2.263;0.0;0.0
01-07-2022;ALICANTE;2.118;;1.938;1.878;1.065;2.089;1.715;2.18;2.184;2.121;2.198;;2.279;0.0;0.015
01-07-2022;ALMERÍA;;;;;1.043;2.06;1.674;2.157;;2.091;2.138;;2.252;0.0;0.0
01-07-2022;ARABA/ÁLAVA;2.152;;1.903;1.944;1.013;2.099;1.742;2.213;;2.155;2.309;;2.308;0.0;0.474
01-07-2022;ASTURIAS;;2.459;2.013;2.147;1.077;2.094;1.728;2.178;2.349;2.145;2.204;;2.292;0.106;0.0
01-07-2022;BADAJOZ;;;1.766;1.74;1.029;2.095;1.643;2.186;;2.114;2.17;;2.257;0.0;0.0
01-07-2022;BALEARS (ILLES);;;;;1.06;2.15;1.764;2.222;2.264;2.174;2.249;;2.333;0.0;0.0
01-07-2022;BARCELONA;2.005;2.352;2.026;1.965;1.048;2.084;1.705;2.174;2.179;2.126;2.189;;2.29;0.106;0.119
01-07-2022;BIZKAIA;1.449;1.487;1.925;2.147;1.085;2.098;1.69;2.188;;2.133;2.194;;2.295;0.659;0.093
01-07-2022;BURGOS;;;1.758;1.734;1.02;2.086;1.669;2.176;;2.142;2.209;;2.304;0.0;0.0
01-07-2022;CANTABRIA;2.022;;;;1.061;2.09;1.647;2.173;;2.147;2.245;;2.291;0.0;0.452
01-07-2022;CASTELLÓN / CASTELLÓ;;;2.133;2.098;1.083;2.082;1.67;2.172;;2.12;2.187;2.475;2.279;0.0;0.0
01-07-2022;CEUTA;;;;;;1.681;;1.722;;1.712;1.749;;1.742;0.0;0.0
01-07-2022;CIUDAD REAL;;;1.989;1.999;1.001;2.08;1.645;2.179;;2.099;2.173;;2.24;0.0;0.0
01-07-2022;CORUÑA (A);;2.358;1.989;2.147;1.022;2.095;1.707;2.17;2.246;2.156;2.212;2.369;2.304;0.305;0.0
01-07-2022;CUENCA;;;1.989;1.944;1.026;2.075;1.581;2.19;;2.126;2.197;2.169;2.277;0.0;0.0
01-07-2022;CÁCERES;2.078;;1.974;1.999;1.032;2.085;1.637;2.169;;2.108;2.172;;2.273;0.0;0.181
01-07-2022;CÁDIZ;2.072;;1.739;1.699;1.05;2.07;1.661;2.161;2.199;2.112;2.178;;2.259;0.0;0.077
01-07-2022;CÓRDOBA;;;;;1.03;2.058;1.643;2.147;2.124;2.103;2.169;;2.235;0.0;0.0
01-07-2022;GIPUZKOA;2.129;2.219;1.954;1.945;1.007;2.115;1.755;2.195;;2.168;2.214;;2.316;0.634;0.09
01-07-2022;GIRONA;1.999;;1.917;1.828;1.037;2.095;1.766;2.183;2.224;2.13;2.214;;2.293;0.0;0.026
01-07-2022;GRANADA;1.999;;1.989;0.999;1.027;2.074;1.647;2.161;;2.114;2.187;;2.258;0.0;0.024
01-07-2022;GUADALAJARA;;;2.166;2.212;1.026;2.075;1.644;2.164;;2.111;2.209;;2.261;0.0;0.0
01-07-2022;HUELVA;2.059;;;1.798;1.036;2.085;1.645;2.173;2.169;2.11;2.197;2.097;2.257;0.0;0.067
01-07-2022;HUESCA;;;;;1.059;2.068;1.649;2.147;;2.1;2.175;;2.251;0.0;0.0
01-07-2022;JAÉN;1.989;;1.814;1.794;1.04;2.081;1.625;2.182;2.109;2.094;2.156;;2.238;0.0;0.053
01-07-2022;LEÓN;;;1.989;;1.039;2.094;1.664;2.165;2.087;2.141;2.216;2.227;2.274;0.0;0.0
01-07-2022;LLEIDA;2.019;;2.129;2.099;1.126;2.057;1.619;2.146;;2.093;2.194;;2.26;0.0;0.102
01-07-2022;LUGO;;;;1.999;1.107;2.094;1.712;2.174;;2.144;2.224;2.269;2.274;0.0;0.0
01-07-2022;MADRID;2.304;;1.993;2.075;1.051;2.101;1.756;2.186;2.209;2.129;2.227;;2.287;0.0;0.025
01-07-2022;MELILLA;;;;;;1.606;;1.65;;1.659;;;;0.0;0.0
01-07-2022;MURCIA;;;1.961;1.958;1.058;2.064;1.699;2.137;;2.097;2.134;2.299;2.242;0.0;0.0
01-07-2022;MÁLAGA;;;1.989;1.889;1.106;2.092;1.654;2.188;;2.137;2.225;;2.302;0.0;0.0
01-07-2022;NAVARRA;;;1.839;1.649;1.033;2.066;1.627;2.153;2.229;2.132;2.203;;2.274;0.0;0.0
01-07-2022;OURENSE;;;1.989;;1.147;2.107;1.763;2.174;;2.153;2.191;;2.296;0.0;0.0
01-07-2022;PALENCIA;2.169;;;;1.041;2.076;1.64;2.151;;2.129;2.184;;2.266;0.0;0.139
01-07-2022;PALMAS (LAS);;;;;0.803;1.607;;1.718;;1.635;1.658;;1.75;0.0;0.0
01-07-2022;PONTEVEDRA;;;;1.999;1.084;2.095;1.698;2.173;;2.146;2.195;;2.296;0.0;0.0
01-07-2022;RIOJA (LA);;;1.95;;1.019;2.082;1.634;2.166;;2.15;2.219;;2.3;0.0;0.0
01-07-2022;SALAMANCA;;;2.088;2.073;1.038;2.096;1.687;2.185;2.199;2.134;2.212;;2.284;0.0;0.0
01-07-2022;SANTA CRUZ DE TENERIFE;;;2.399;;0.811;1.626;;1.729;;1.632;1.629;;1.749;0.0;0.0
01-07-2022;SEGOVIA;;;;2.147;0.984;2.08;1.715;2.158;;2.13;2.204;;2.294;0.0;0.0
01-07-2022;SEVILLA;1.979;;2.055;2.147;1.048;2.077;1.66;2.167;;2.114;2.197;;2.265;0.0;0.029
01-07-2022;SORIA;;;;;0.997;2.063;1.643;2.138;;2.113;2.212;;2.277;0.0;0.0
01-07-2022;TARRAGONA;1.979;;2.096;2.101;1.001;2.063;1.627;2.154;;2.107;2.181;;2.276;0.0;0.088
01-07-2022;TERUEL;;;;;1.019;2.049;1.536;2.143;;2.089;2.196;;2.285;0.0;0.0
