Fecha;CCAA;Precio Biodiesel;Precio Bioetanol;Precio Gas Natural Comprimido;Precio Gas Natural Licuado;Precio Gases licuados del petróleo;Precio Gasoleo A;Precio Gasoleo B;Precio Gasoleo Premium;Precio Gasolina 95 E10;Precio Gasolina 95 E5;Precio Gasolina 95 E5 Premium;Precio Gasolina 98 E10;Precio Gasolina 98 E5;% BioEtanol;% Éster metílico
01-05-2022;ANDALUCÍA;1.787;;2.33;2.05;1.008;1.872;1.44;1.978;1.884;1.841;1.94;1.855;1.993;0.0;0.038
01-05-2022;ARAGÓN;;;2.031;2.079;0.976;1.871;1.389;1.97;;1.844;1.948;;2.0;0.0;0.0
01-05-2022;PRINCIPADO DE ASTURIAS;;2.069;1.888;1.938;1.024;1.926;1.54;2.011;1.969;1.885;1.964;;2.027;0.109;0.0
01-05-2022;BALEARES;;;;;1.002;1.971;1.565;2.044;2.009;1.924;2.024;;2.061;0.0;0.0
01-05-2022;CANARIAS;;;2.399;;0.795;1.458;;1.562;;1.466;1.441;;1.579;0.0;0.0
01-05-2022;CANTABRIA;1.879;;;;0.991;1.893;1.454;1.978;;1.868;1.989;;2.002;0.0;0.458
01-05-2022;CASTILLA LA MANCHA;;;2.423;2.273;0.986;1.882;1.407;1.998;1.864;1.854;1.949;1.898;1.994;0.0;0.0
01-05-2022;CASTILLA Y LEÓN;1.896;;2.15;1.978;0.993;1.897;1.468;1.989;1.737;1.865;1.964;1.887;2.008;0.0;0.065
01-05-2022;CATALUÑA;1.806;2.182;2.252;2.132;0.997;1.892;1.473;1.993;1.883;1.856;1.962;;2.02;0.057;0.095
01-05-2022;COMUNIDAD VALENCIANA;1.798;;2.317;2.149;0.989;1.885;1.471;1.988;1.909;1.854;1.957;1.985;2.008;0.0;0.011
01-05-2022;EXTREMADURA;1.867;;1.964;1.978;0.985;1.892;1.448;1.996;;1.846;1.94;;1.991;0.0;0.064
01-05-2022;GALICIA;;2.098;2.74;2.252;1.0;1.906;1.524;1.987;1.984;1.872;1.956;1.989;1.997;0.121;0.0
01-05-2022;COMUNIDAD DE MADRID;2.009;;2.383;2.066;0.994;1.92;1.556;2.013;1.949;1.873;1.994;;2.027;0.0;0.025
01-05-2022;REGIÓN DE MURCIA;;;2.51;2.234;0.995;1.872;1.498;1.956;1.95;1.836;1.897;1.969;1.973;0.0;0.0
01-05-2022;COMUNIDAD FORAL DE NAVARRA;;;2.264;1.789;0.984;1.862;1.395;1.966;1.929;1.845;1.93;;1.994;0.0;0.0
01-05-2022;PAIS VASCO;1.905;1.708;2.022;2.134;0.979;1.929;1.54;2.022;;1.885;1.957;;2.032;0.514;0.181
01-05-2022;LA RIOJA;;;1.87;;0.977;1.874;1.412;1.972;;1.855;1.989;;1.997;0.0;0.0
01-05-2022;CIUDAD AUTÓNOMA DE CEUTA;;;;;;1.578;;1.626;;1.525;1.589;;1.548;0.0;0.0
01-05-2022;CIUDAD AUTÓNOMA DE MELILLA;;;;;;1.494;;1.534;;1.462;;;;0.0;0.0
02-05-2022;ANDALUCÍA;1.787;;2.33;2.05;1.008;1.874;1.441;1.98;1.884;1.842;1.941;1.855;1.994;0.0;0.038
02-05-2022;ARAGÓN;;;2.031;2.079;0.976;1.872;1.389;1.971;;1.844;1.947;;2.0;0.0;0.0
02-05-2022;PRINCIPADO DE ASTURIAS;;2.149;1.888;1.938;1.024;1.927;1.541;2.012;2.049;1.886;1.963;;2.027;0.109;0.0
02-05-2022;BALEARES;;;;;1.002;1.974;1.568;2.047;1.999;1.925;2.023;;2.062;0.0;0.0
02-05-2022;CANARIAS;;;;;0.795;1.46;;1.567;;1.468;1.477;;1.583;0.0;0.0
02-05-2022;CANTABRIA;1.879;;;;0.991;1.895;1.455;1.98;;1.869;1.982;;2.004;0.0;0.458
02-05-2022;CASTILLA LA MANCHA;;;2.423;2.273;0.986;1.884;1.408;2.0;1.864;1.855;1.95;1.898;1.995;0.0;0.0
02-05-2022;CASTILLA Y LEÓN;1.896;;2.15;1.978;0.993;1.898;1.476;1.99;1.737;1.865;1.963;1.887;2.008;0.0;0.065
02-05-2022;CATALUÑA;1.806;2.182;2.252;2.132;0.997;1.894;1.474;1.995;1.895;1.857;1.962;;2.02;0.057;0.095
02-05-2022;COMUNIDAD VALENCIANA;1.798;;2.317;2.149;0.989;1.886;1.472;1.99;1.914;1.855;1.955;1.985;2.009;0.0;0.011
02-05-2022;EXTREMADURA;1.867;;1.964;1.978;0.985;1.894;1.449;1.998;;1.847;1.941;;1.992;0.0;0.064
02-05-2022;GALICIA;;2.098;2.74;2.252;1.0;1.908;1.526;1.989;1.984;1.874;1.955;1.989;1.998;0.121;0.0
02-05-2022;COMUNIDAD DE MADRID;2.009;;2.383;2.066;0.994;1.921;1.559;2.015;1.949;1.873;1.993;;2.028;0.0;0.025
02-05-2022;REGIÓN DE MURCIA;;;2.51;2.234;0.995;1.874;1.499;1.958;1.95;1.837;1.897;1.969;1.973;0.0;0.0
02-05-2022;COMUNIDAD FORAL DE NAVARRA;;;2.264;1.789;0.984;1.863;1.396;1.969;1.929;1.846;1.931;;1.994;0.0;0.0
02-05-2022;PAIS VASCO;1.909;1.708;2.022;2.134;0.979;1.931;1.543;2.024;;1.887;1.96;;2.033;0.514;0.181
02-05-2022;LA RIOJA;;;1.87;;0.977;1.876;1.412;1.974;;1.857;1.989;;1.999;0.0;0.0
02-05-2022;CIUDAD AUTÓNOMA DE CEUTA;;;;;;1.578;;1.626;;1.525;1.589;;1.548;0.0;0.0
02-05-2022;CIUDAD AUTÓNOMA DE MELILLA;;;;;;1.494;;1.534;;1.462;;;;0.0;0.0
03-05-2022;ANDALUCÍA;1.8;;2.308;1.992;1.008;1.878;1.444;1.984;1.894;1.847;1.946;1.855;1.999;0.0;0.038
03-05-2022;ARAGÓN;;;1.988;2.021;0.976;1.875;1.392;1.976;;1.85;1.954;;2.007;0.0;0.0
03-05-2022;PRINCIPADO DE ASTURIAS;;2.149;1.801;1.764;1.024;1.931;1.545;2.018;2.049;1.892;1.969;;2.034;0.108;0.0
03-05-2022;BALEARES;;;;;1.002;1.982;1.572;2.054;2.029;1.931;2.024;;2.071;0.0;0.0
03-05-2022;CANARIAS;;;2.399;;0.795;1.464;;1.572;;1.472;1.477;;1.587;0.0;0.0
03-05-2022;CANTABRIA;1.899;;;;0.995;1.906;1.464;1.991;;1.878;1.98;;2.015;0.0;0.458
03-05-2022;CASTILLA LA MANCHA;;;2.389;2.22;0.986;1.892;1.41;2.007;1.899;1.863;1.959;1.898;2.003;0.0;0.0
03-05-2022;CASTILLA Y LEÓN;1.896;;2.101;1.913;0.994;1.903;1.48;1.996;1.737;1.871;1.967;1.887;2.014;0.0;0.065
03-05-2022;CATALUÑA;1.834;2.202;2.205;2.059;0.998;1.905;1.481;2.004;1.897;1.864;1.967;;2.028;0.056;0.095
03-05-2022;COMUNIDAD VALENCIANA;1.818;;2.214;2.03;0.989;1.896;1.482;1.998;1.974;1.863;1.962;1.985;2.017;0.0;0.011
03-05-2022;EXTREMADURA;1.898;;1.945;1.97;0.985;1.899;1.453;2.006;;1.854;1.945;;2.0;0.0;0.065
03-05-2022;GALICIA;;2.118;2.74;2.194;1.002;1.918;1.532;1.999;2.002;1.884;1.959;2.009;2.006;0.121;0.0
03-05-2022;COMUNIDAD DE MADRID;2.009;;2.358;1.938;0.995;1.926;1.561;2.019;1.959;1.878;1.994;;2.032;0.0;0.025
03-05-2022;REGIÓN DE MURCIA;;;2.51;2.19;0.995;1.88;1.502;1.963;1.95;1.842;1.9;1.969;1.977;0.0;0.0
03-05-2022;COMUNIDAD FORAL DE NAVARRA;;;2.264;1.789;0.984;1.877;1.408;1.98;1.929;1.856;1.948;;2.01;0.0;0.0
03-05-2022;PAIS VASCO;1.915;1.708;1.993;2.094;0.979;1.94;1.555;2.032;;1.896;1.968;;2.042;0.511;0.18
03-05-2022;LA RIOJA;;;1.87;;0.977;1.892;1.43;1.992;;1.873;1.999;;2.017;0.0;0.0
03-05-2022;CIUDAD AUTÓNOMA DE CEUTA;;;;;;1.583;;1.632;;1.532;1.589;;1.558;0.0;0.0
03-05-2022;CIUDAD AUTÓNOMA DE MELILLA;;;;;;1.494;;1.534;;1.462;;;;0.0;0.0
04-05-2022;ANDALUCÍA;1.813;;2.308;1.992;1.011;1.891;1.453;1.998;1.889;1.858;1.954;1.899;2.011;0.0;0.038
04-05-2022;ARAGÓN;;;1.988;2.021;0.974;1.886;1.397;1.986;;1.859;1.964;;2.016;0.0;0.0
04-05-2022;PRINCIPADO DE ASTURIAS;;2.149;1.801;1.764;1.021;1.942;1.549;2.029;2.049;1.902;1.975;;2.044;0.107;0.0
04-05-2022;BALEARES;;;;;1.002;1.992;1.577;2.063;2.035;1.939;2.03;;2.081;0.0;0.0
04-05-2022;CANARIAS;;;2.399;;0.795;1.467;;1.575;;1.474;1.489;;1.589;0.0;0.0
04-05-2022;CANTABRIA;1.899;;;;0.997;1.919;1.475;2.002;;1.888;1.997;;2.025;0.0;0.458
04-05-2022;CASTILLA LA MANCHA;;;2.387;2.22;0.987;1.902;1.418;2.016;1.899;1.871;1.965;1.934;2.011;0.0;0.0
04-05-2022;CASTILLA Y LEÓN;1.899;;2.101;1.913;0.994;1.916;1.492;2.008;1.777;1.881;1.975;1.967;2.024;0.0;0.065
04-05-2022;CATALUÑA;1.833;2.202;2.197;2.059;0.999;1.913;1.487;2.012;1.923;1.871;1.973;;2.035;0.056;0.095
04-05-2022;COMUNIDAD VALENCIANA;1.818;;2.214;2.03;0.99;1.904;1.489;2.006;1.975;1.871;1.969;1.985;2.025;0.0;0.011
04-05-2022;EXTREMADURA;1.918;;1.945;1.97;0.996;1.909;1.46;2.015;;1.864;1.956;;2.008;0.0;0.065
04-05-2022;GALICIA;;2.099;2.74;2.194;1.005;1.929;1.538;2.008;2.006;1.893;1.969;2.009;2.016;0.121;0.0
04-05-2022;COMUNIDAD DE MADRID;2.044;;2.321;1.938;0.995;1.938;1.57;2.032;1.959;1.889;2.0;;2.046;0.0;0.025
04-05-2022;REGIÓN DE MURCIA;;;2.51;2.19;0.997;1.892;1.512;1.976;1.95;1.85;1.902;1.999;1.987;0.0;0.0
04-05-2022;COMUNIDAD FORAL DE NAVARRA;;;2.264;1.789;0.986;1.884;1.413;1.987;1.929;1.862;1.957;;2.018;0.0;0.0
04-05-2022;PAIS VASCO;1.921;1.708;1.993;2.094;0.979;1.95;1.562;2.04;;1.904;1.973;;2.048;0.511;0.18
04-05-2022;LA RIOJA;;;1.87;;0.977;1.897;1.433;1.998;;1.878;1.999;;2.023;0.0;0.0
04-05-2022;CIUDAD AUTÓNOMA DE CEUTA;;;;;;1.596;;1.639;;1.547;1.589;;1.578;0.0;0.0
04-05-2022;CIUDAD AUTÓNOMA DE MELILLA;;;;;;1.502;;1.545;;1.472;;;;0.0;0.0
